name,address,location,listed_in(city),cuisines,price,rating,votes,rest_type
Barbeque Nation,"86, 1st Cross, Koramangala 1st Block, Bangalore",HSR,HSR,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3614,Casual Dining
The Black Pearl,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Marathahalli,"North Indian,European,Mediterranean,BBQ",1500,4.8,7284,"Casual Dining, Bar"
Barbeque Nation,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",Bannerghatta Road,Bannerghatta Road,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3845,Casual Dining
SantÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Spa Cuisine,"151, 2nd Cross, Domlur 2nd Stage, Indiranagar, Bangalore",Old Airport Road,Old Airport Road,"Healthy Food,Salad,Mediterranean",1000,4.9,246,Casual Dining
Flechazo,"120 A3, 2nd Floor, Santosh Tower, EPIP Industrial Area, Phase 1, Hoodi Village, Whitefield, Bangalore",Brookefield,Brookefield,"Asian,Mediterranean,North Indian,BBQ",1400,4.9,2745,Casual Dining
Brahmin's Coffee Bar,"Ranga Rao Road, Near Shankar Mutt, Shankarapura, Near Basavanagudi, Bangalore",Basavanagudi,Basavanagudi,South Indian,100,4.8,2679,Quick Bites
Belgian Waffle Factory,"5M/406, Ground Floor, 2nd Block extension, Hennu-Banaswadi Road, Kalyan Nagar, Bangalore",Kammanahalli,Kammanahalli,Desserts,400,4.8,265,Dessert Parlor
Belgian Waffle Factory,"5M/406, Ground Floor, 2nd Block extension, Hennu-Banaswadi Road, Kalyan Nagar, Bangalore",Kalyan Nagar,Kalyan Nagar,Desserts,400,4.8,265,Dessert Parlor
Byg Brewski Brewing Company,"Behind MK Retail, Sarjapur Road, Bangalore",Bellandur,Bellandur,"Continental,North Indian,Italian,South Indian,Finger Food",1600,4.9,16345,Microbrewery
Byg Brewski Brewing Company,"Behind MK Retail, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"Continental,North Indian,Italian,South Indian,Finger Food",1600,4.9,16832,Microbrewery
Belgian Waffle Factory,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Frazer Town,Frazer Town,Desserts,400,4.9,1743,Dessert Parlor
Punjab Grill,"26/1, Dr Rajkumar Road, Brigade Gateway Campus, Malleshwaram Bangalore",Malleshwaram,Malleshwaram,"North Indian,Mughlai",2000,4.9,1940,Casual Dining
Punjab Grill,"26/1, Dr Rajkumar Road, Brigade Gateway Campus, Malleshwaram Bangalore",Rajajinagar,Rajajinagar,"North Indian,Mughlai",2000,4.9,1973,Casual Dining
The Big Barbeque,"163, 2nd Floor, 1st Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore",Electronic City,Electronic City,"BBQ,North Indian,Continental,Chinese",1500,4.7,524,Casual Dining
Taaza Thindi,"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",Banashankari,Banashankari,South Indian,100,4.7,651,Quick Bites
Truffles,"84, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",New BEL Road,New BEL Road,"Cafe,American,Burger,Steak",900,4.7,3912,"Cafe, Casual Dining"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",BTM,BTM,"Asian,Chinese,Thai,Momos",1500,4.9,2178,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2254,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2217,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 5th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2244,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2249,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Jayanagar,Jayanagar,"Asian,Chinese,Thai,Momos",1500,4.9,2202,"Casual Dining, Bar"
Barbeque Nation,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",JP Nagar,JP Nagar,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3855,Casual Dining
Milano Ice Cream,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Ice Cream,Desserts",400,4.9,2090,Dessert Parlor
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",MG Road,MG Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4839,"Pub, Cafe"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Church Street,Church Street,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4677,"Pub, Cafe"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Brigade Road,Brigade Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4639,"Pub, Cafe"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Lavelle Road,Lavelle Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4811,"Pub, Cafe"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Residency Road,Residency Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4845,"Pub, Cafe"
TBC Sky Lounge,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",HSR,HSR,"Continental,Asian,Italian,North Indian",1000,4.7,6745,"Casual Dining, Bar"
AB's - Absolute Barbecues,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",Marathahalli,Marathahalli,"European,Mediterranean,North Indian,BBQ",1600,4.8,12121,Casual Dining
Barbeque Nation,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",Bannerghatta Road,Bannerghatta Road,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3844,Casual Dining
The Pizza Bakery,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",Old Airport Road,Old Airport Road,"Italian,Pizza,Beverages",1200,4.8,1781,Casual Dining
Punjab Grill,"Ground Floor, Forum Shantiniketan, Whitefield Main Road, Hoodi, Whitefield, Bangalore",Brookefield,Brookefield,North Indian,2000,4.9,518,Casual Dining
Onesta,"90/66, 1st Floor, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Basavanagudi,Basavanagudi,"Pizza,Cafe,Italian",600,4.6,1755,"Casual Dining, Cafe"
AB's - Absolute Barbecues,"2nd Floor, Roseline Landmark, 5th B Cross, HRBR Layout, 3rd Block, Kalyan Nagar, Bangalore",Kammanahalli,Kammanahalli,"European,Mediterranean,North Indian,BBQ",1400,4.7,1697,Casual Dining
AB's - Absolute Barbecues,"2nd Floor, Roseline Landmark, 5th B Cross, HRBR Layout, 3rd Block, Kalyan Nagar, Bangalore",Kalyan Nagar,Kalyan Nagar,"European,Mediterranean,North Indian,BBQ",1400,4.6,1502,Casual Dining
The Black Pearl,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Bellandur,Bellandur,"North Indian,European,Mediterranean,BBQ",1500,4.8,7023,"Casual Dining, Bar"
AB's - Absolute Barbecues,"1st Floor, GRS Towers, Above Spencers Hyper Market, Sarjapur Main Road, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"European,Mediterranean,North Indian,BBQ",1600,4.7,1018,Casual Dining
Belgian Waffle Factory,"Vasanth Nagar, Bangalore",Frazer Town,Frazer Town,Desserts,400,4.8,392,Dessert Parlor
Chili's American Grill & Bar,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Malleshwaram,Malleshwaram,"American,Tex-Mex,Burger,BBQ,Mexican",1400,4.8,6433,"Casual Dining, Bar"
Punjab Grill,"26/1, Dr Rajkumar Road, Brigade Gateway Campus, Malleshwaram Bangalore",Rajajinagar,Rajajinagar,"North Indian,Mughlai",2000,4.9,1985,Casual Dining
The Big Barbeque,"163, 2nd Floor, 1st Cross Road, Neeladri Nagar, Phase 1, Electronic City, Bangalore",Electronic City,Electronic City,"BBQ,North Indian,Continental,Chinese",1500,4.7,544,Casual Dining
Onesta,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Banashankari,Banashankari,"Pizza,Cafe,Italian",600,4.6,2556,"Casual Dining, Cafe"
Truffles,"84, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",New BEL Road,New BEL Road,"Cafe,American,Burger,Steak",900,4.7,3916,"Cafe, Casual Dining"
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",BTM,BTM,Desserts,400,4.9,201,Dessert Parlor
AB's - Absolute Barbecues,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"European,Mediterranean,North Indian,BBQ",1600,4.9,6490,Casual Dining
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2227,"Casual Dining, Bar"
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 5th Block,Desserts,400,4.8,189,Dessert Parlor
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,Desserts,400,4.8,189,Dessert Parlor
AB's - Absolute Barbecues,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",Jayanagar,Jayanagar,"European,Mediterranean,North Indian,BBQ",1600,4.9,6452,Casual Dining
Sea Lions BBQ & Grills,"24, 46th Cross, 5th Block Jayanagar, Bangalore",JP Nagar,JP Nagar,"North Indian,Chinese,Mughlai,Mexican,BBQ",1100,4.6,538,Casual Dining
The Pizza Bakery,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Italian,Pizza,Beverages",1200,4.8,1724,Casual Dining
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",MG Road,MG Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4840,"Pub, Cafe"
Communiti,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Church Street,Church Street,"Continental,BBQ,Salad",1500,4.7,3920,"Microbrewery, Casual Dining"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Brigade Road,Brigade Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4657,"Pub, Cafe"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Lavelle Road,Lavelle Road,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4819,"Pub, Cafe"
Rim Naam - The Oberoi,"The Oberoi, 37-39, MG Road, Bangalore",Residency Road,Residency Road,Thai,3000,4.6,988,Fine Dining
House Of Commons,"1085, 14th Main, 18th Cross, Sector 3, HSR, Bangalore",HSR,HSR,"Continental,Asian,North Indian",1000,4.7,3573,Bar
The Globe Grub,"2nd Floor, Soul Space Paradigm, Above Bata Showroom, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"Continental,North Indian,Asian,Italian",1300,4.8,3932,Casual Dining
Galito's,"Vega City Mall, 3rd Floor, Bannerghatta Road, Bangalore",Bannerghatta Road,Bannerghatta Road,"African,Burger",1000,4.6,404,Casual Dining
The Pizza Bakery,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",Old Airport Road,Old Airport Road,"Italian,Pizza,Beverages",1200,4.8,1785,Casual Dining
AB's - Absolute Barbecues,"2nd Floor, I20-A2, EPIP Zone, Near Vydehi Hospital, Whitefield, Bangalore",Brookefield,Brookefield,"European,Mediterranean,North Indian,BBQ",1600,4.8,2882,Casual Dining
The Blue Wagon - Kitchen,"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",Basavanagudi,Basavanagudi,"Cafe,Beverages",400,4.6,228,Cafe
Mugful Of Stories,"421, 4th D Main, 5th A Cross, Kalyan Nagar, Bangalore",Kammanahalli,Kammanahalli,"Desserts,Bakery",300,4.6,274,Dessert Parlor
Mugful Of Stories,"421, 4th D Main, 5th A Cross, Kalyan Nagar, Bangalore",Kalyan Nagar,Kalyan Nagar,"Desserts,Bakery",300,4.6,274,Dessert Parlor
AB's - Absolute Barbecues,"1st Floor, GRS Towers, Above Spencers Hyper Market, Sarjapur Main Road, Sarjapur Road, Bangalore",Bellandur,Bellandur,"European,Mediterranean,North Indian,BBQ",1600,4.7,881,Casual Dining
Sarjapur Social,"22, 57/58/1/2, Saket Callipolis, Doddakannhalli, Ambalipura, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"American,North Indian,Chinese,Finger Food",1500,4.6,1324,"Bar, Casual Dining"
Hammered,"18, Ali Askar Road, Cunningham Road, Bangalore",Frazer Town,Frazer Town,"North Indian,Thai,Japanese,Continental,Cafe",1300,4.7,4678,"Pub, Cafe"
Belgian Waffle Factory,"Vasanth Nagar, Bangalore",Malleshwaram,Malleshwaram,Desserts,400,4.8,391,Dessert Parlor
Chili's American Grill & Bar,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Rajajinagar,Rajajinagar,"American,Tex-Mex,Burger,BBQ,Mexican",1400,4.8,6461,"Casual Dining, Bar"
Onesta,"Sy No: 54/2 ( Old Sy no 54 ), Above BATA showroom Bommasandra Village, Attible Hobbli, Anekal Taluk, Bengaluru, Karnataka 560099",Electronic City,Electronic City,"Pizza,Cafe,Italian",600,4.5,860,"Casual Dining, Cafe"
The Blue Wagon - Kitchen,"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",Banashankari,Banashankari,"Cafe,Beverages",400,4.6,228,Cafe
Hammered,"3, 80 Feet Road, Opposite MK Tower, RMV 2nd Stage, New BEL Road, Bangalore",New BEL Road,New BEL Road,"North Indian,Continental,Cafe",1200,4.5,2932,"Pub, Cafe"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",BTM,BTM,"Asian,Chinese,Thai,Momos",1500,4.9,2184,"Casual Dining, Bar"
Asia Kitchen By Mainland China,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Asian,Chinese,Thai,Momos",1500,4.9,2256,"Casual Dining, Bar"
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",BTM,BTM,Desserts,400,4.8,186,Dessert Parlor
House Of Commons,"122/B, Jyothi Nivas Road, 5th Block, Koramangala 5th Block, Bangalore",BTM,BTM,"Continental,Asian,North Indian",1000,4.8,4390,Bar
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Jayanagar,Jayanagar,Desserts,400,4.8,186,Dessert Parlor
Barbeque Nation,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",Jayanagar,Jayanagar,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.8,3864,Casual Dining
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,Desserts,400,4.8,187,Dessert Parlor
House Of Commons,"122/B, Jyothi Nivas Road, 5th Block, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Continental,Asian,North Indian",1000,4.8,4441,Bar
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,460,"Pub, Microbrewery"
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,467,"Pub, Microbrewery"
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 5th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,467,"Pub, Microbrewery"
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 5th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,482,"Pub, Microbrewery"
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 6th Block,Koramangala 6th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,498,"Pub, Microbrewery"
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,Desserts,400,4.8,189,Dessert Parlor
Belgian Waffle Factory,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,Desserts,400,4.8,193,Dessert Parlor
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,516,"Pub, Microbrewery"
Biergarten,"4th B Cross, Koramangala 5th Block, Bangalore",Koramangala 7th Block,Koramangala 7th Block,"Continental,North Indian,Chinese,European,BBQ",2100,4.8,524,"Pub, Microbrewery"
O.G. Variar & Sons,"12th Main, 2nd Block, Rajajinagar, Bangalore",Malleshwaram,Malleshwaram,"Bakery,Desserts",200,4.8,1156,Bakery
Chili's American Grill & Bar,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Malleshwaram,Malleshwaram,"American,Tex-Mex,Burger,BBQ,Mexican",1400,4.8,6440,"Casual Dining, Bar"
The Boozy Griffin,"20/7, 4th & 5th Floor, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Marathahalli,"European,Continental",1800,4.8,4696,Pub
The Boozy Griffin,"20/7, 4th & 5th Floor, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",Marathahalli,Marathahalli,"European,Continental",1800,4.8,4705,Pub
CTR,"7th Cross, Margosa Road, Malleshwaram, Bangalore",Rajajinagar,Rajajinagar,South Indian,150,4.8,4421,Quick Bites
O.G. Variar & Sons,"12th Main, 2nd Block, Rajajinagar, Bangalore",Rajajinagar,Rajajinagar,"Bakery,Desserts",200,4.8,1161,Bakery
Barbecue by Punjab Grill,"Unit T-1, Third Floor, Sampige Road, Mantri Square Mall, Malleshwaram, Bangalore",Rajajinagar,Rajajinagar,BBQ,1300,4.8,1367,Casual Dining
Chili's American Grill & Bar,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Rajajinagar,Rajajinagar,"American,Tex-Mex,Burger,BBQ,Mexican",1400,4.8,6470,"Casual Dining, Bar"
Opus Food Stories,"26, Varthur Hobli, Near HP Petrol Bunk, Harlur Road, Sarjapur Road, Bangalore",Bellandur,Bellandur,"Goan,Asian,North Indian,European,Continental",1500,4.7,163,"Bar, Casual Dining"
Communiti,"67 & 68, Brigade Solitaire, Opposite to Advaith Hyundai, Residency Road, Bangalore",Brigade Road,Brigade Road,"Continental,BBQ,Salad",1500,4.7,3894,"Microbrewery, Casual Dining"
Mainland China,"28/2, 1st Floor, Siddapura, Whitefield Main Road, Whitefield, Bangalore",Brookefield,Brookefield,"Chinese,Momos",1700,4.7,1512,Casual Dining
Brew and Barbeque - A Microbrewery Pub,"36/4, Fourth Floor, Soul Space Arena, Outer Ring Road, Doddanekkundi Village, Marathahalli, Bangalore",Brookefield,Brookefield,"Continental,North Indian,BBQ,Steak",1400,4.7,5746,"Microbrewery, Pub"
You Mee,"Ground Floor, Forum Shantiniketan, Whitefield Main Road, Thigalarapalya, Hoodi, Whitefield, Bangalore",Brookefield,Brookefield,"Sushi,Japanese,Chinese,Thai",2000,4.7,231,Casual Dining
Biergarten,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore",Brookefield,Brookefield,"Continental,European,BBQ,Chinese,Asian",2400,4.7,6865,"Microbrewery, Pub"
Biergarten,"2, Doddanekkundi, Whitefield Road, Mahadevpura, Whitefield, Bangalore",Brookefield,Brookefield,"Continental,European,BBQ,Chinese,Asian",2400,4.7,6876,"Microbrewery, Pub"
The Black Pearl,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",BTM,BTM,"North Indian,European,Mediterranean",1400,4.7,10413,"Casual Dining, Bar"
Barbeque Nation,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",BTM,BTM,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3852,Casual Dining
Truffles,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",BTM,BTM,"Cafe,American,Burger,Steak",900,4.7,14654,"Cafe, Casual Dining"
Lot Like Crepes,"203, 1st Main, Koramangala 7th Block, bangalore",BTM,BTM,"Cafe,Desserts,Continental",550,4.7,1022,"Cafe, Dessert Parlor"
ECHOES Koramangala,"Shop 44, 4th B Cross Road, Koramangala 5th Block, Bangalore",BTM,BTM,"Chinese,American,Continental,Italian,North Indian",750,4.7,3197,"Cafe, Casual Dining"
Chianti,"12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore",BTM,BTM,Italian,1500,4.7,4845,Casual Dining
The Black Pearl,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",BTM,BTM,"North Indian,European,Mediterranean",1400,4.7,10422,"Casual Dining, Bar"
Big Pitcher,"LR Arcade,4121, Old Airport Road, Bangalore",Indiranagar,Indiranagar,"American,Continental,North Indian,Mediterranean",1800,4.7,9021,"Pub, Microbrewery"
Barbeque Nation,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,7152,Casual Dining
Corner House Ice Cream,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Ice Cream,Desserts",400,4.7,2139,Dessert Parlor
Burma Burma,"607, Ground Floor, 12th Main, Hal 2nd Stage, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Asian,Burmese",1500,4.7,1594,Casual Dining
Barbeque Nation,"4005, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,7160,Casual Dining
Toit,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Italian,American,Pizza",1500,4.7,14956,Microbrewery
Chianti,"960, Next To Gold Gym,12thMain, HAL 2nd Stage, Indiranagar, Bangalore",Indiranagar,Indiranagar,Italian,1500,4.7,4398,Casual Dining
Big Pitcher,"LR Arcade,4121, Old Airport Road, Bangalore",Indiranagar,Indiranagar,"American,Continental,North Indian,Mediterranean",1800,4.7,9041,"Pub, Microbrewery"
Barbeque Nation,"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",Jayanagar,Jayanagar,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3855,Casual Dining
The Black Pearl,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"North Indian,European,Mediterranean",1400,4.7,10471,"Casual Dining, Bar"
Barbeque Nation,"86, 1st Cross, Koramangala 1st Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"North Indian,European,Mediterranean,BBQ,Kebab",1600,4.7,3617,Casual Dining
Truffles,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Cafe,American,Burger,Steak",900,4.7,14690,"Cafe, Casual Dining"
Truffles,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Koramangala 4th Block,Koramangala 4th Block,"Cafe,American,Burger,Steak",900,4.7,14694,"Cafe, Casual Dining"
